No,No,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
264,362,2008,1,3,4,923,900,1114,1015,WN,418,N631SW,111,75,63,59,23,LAX,OAK,337,4,44,0,N,0,0,0,36,0,23
265,363,2008,1,3,4,1419,1400,1534,1515,WN,420,N268WN,75,75,65,19,19,LAX,OAK,337,4,6,0,N,0,12,0,0,0,7
266,364,2008,1,3,4,1522,1500,1638,1615,WN,430,N752SW,76,75,65,23,22,LAX,OAK,337,5,6,0,N,0,7,0,1,0,15
267,365,2008,1,3,4,1803,1730,1933,1845,WN,440,N720WN,90,75,67,48,33,LAX,OAK,337,5,18,0,N,0,6,0,15,0,27
268,366,2008,1,3,4,2146,2100,2304,2215,WN,724,N342SW,78,75,65,49,46,LAX,OAK,337,4,9,0,N,0,0,0,3,0,46
269,367,2008,1,3,4,2001,1930,2118,2045,WN,810,N648SW,77,75,64,33,31,LAX,OAK,337,4,9,0,N,0,0,0,2,0,31
270,368,2008,1,3,4,1827,1800,1945,1915,WN,829,N476WN,78,75,63,30,27,LAX,OAK,337,4,11,0,N,0,0,0,3,0,27
271,369,2008,1,3,4,1904,1830,2019,1945,WN,1026,N224WN,75,75,64,34,34,LAX,OAK,337,6,5,0,N,0,0,0,0,0,34
272,370,2008,1,3,4,1450,1430,1607,1545,WN,1032,N489WN,77,75,64,22,20,LAX,OAK,337,5,8,0,N,0,0,0,2,0,20
273,371,2008,1,3,4,1722,1700,1836,1815,WN,1061,N422WN,74,75,63,21,22,LAX,OAK,337,4,7,0,N,0,4,0,0,0,17
274,372,2008,1,3,4,1820,1630,1943,1745,WN,1135,N304SW,83,75,71,118,110,LAX,OAK,337,4,8,0,N,0,0,0,8,3,107
275,374,2008,1,3,4,1623,1600,1753,1715,WN,1168,N361SW,90,75,70,38,23,LAX,OAK,337,13,7,0,N,0,0,0,15,0,23
276,375,2008,1,3,4,2008,2000,2136,2115,WN,1414,N402WN,88,75,67,21,8,LAX,OAK,337,5,16,0,N,0,5,0,13,0,3
280,382,2008,1,3,4,1811,1725,2016,1940,WN,109,N269WN,65,75,52,36,46,LAX,PHX,370,6,7,0,N,0,5,0,0,0,31
282,386,2008,1,3,4,2020,1905,2225,2115,WN,386,N718SW,65,70,56,70,75,LAX,PHX,370,4,5,0,N,0,0,0,0,0,70
284,388,2008,1,3,4,2116,2040,2318,2250,WN,520,N283WN,62,70,53,28,36,LAX,PHX,370,3,6,0,N,0,5,0,0,0,23
285,389,2008,1,3,4,1556,1440,1804,1655,WN,746,N637SW,68,75,52,69,76,LAX,PHX,370,4,12,0,N,0,69,0,0,0,0
286,390,2008,1,3,4,1040,1005,1241,1220,WN,1058,N202WN,61,75,50,21,35,LAX,PHX,370,4,7,0,N,0,15,0,0,0,6
288,392,2008,1,3,4,1419,1335,1624,1550,WN,2015,N792SW,65,75,53,34,44,LAX,PHX,370,3,9,0,N,0,11,0,0,0,23
293,400,2008,1,3,4,2321,1955,38,2115,WN,593,N901WN,77,80,65,203,206,LAX,SFO,337,6,6,0,N,0,0,0,203,0,0
294,402,2008,1,3,4,2008,1805,2139,1930,WN,646,N738CB,91,85,70,129,123,LAX,SFO,337,5,16,0,N,0,0,24,6,0,99
295,403,2008,1,3,4,1625,1430,1748,1550,WN,656,N738CB,83,80,67,118,115,LAX,SFO,337,3,13,0,N,0,0,0,5,0,113
296,404,2008,1,3,4,1305,1050,1421,1210,WN,680,N738CB,76,80,63,131,135,LAX,SFO,337,5,8,0,N,0,0,0,131,0,0
297,405,2008,1,3,4,1558,1245,1709,1405,WN,776,N901WN,71,80,60,184,193,LAX,SFO,337,7,4,0,N,0,184,0,0,0,0
298,406,2008,1,3,4,1600,1455,1714,1600,WN,173,N331SW,74,65,54,74,65,LAX,SJC,308,5,15,0,N,0,14,0,9,0,51
299,407,2008,1,3,4,1556,1525,1705,1630,WN,232,N740SW,69,65,53,35,31,LAX,SJC,308,3,13,0,N,0,0,0,18,0,17
300,408,2008,1,3,4,2056,2000,2203,2105,WN,343,N687SW,67,65,56,58,56,LAX,SJC,308,5,6,0,N,0,21,0,2,0,35
301,410,2008,1,3,4,1159,1130,1259,1235,WN,769,N608SW,60,65,48,24,29,LAX,SJC,308,5,7,0,N,0,0,0,9,0,15
302,411,2008,1,3,4,2140,2035,2249,2140,WN,1113,N731SA,69,65,54,69,65,LAX,SJC,308,6,9,0,N,0,0,12,4,0,53
303,412,2008,1,3,4,1455,1425,1557,1530,WN,1609,N676SW,62,65,49,27,30,LAX,SJC,308,5,8,0,N,0,23,0,0,0,4
304,414,2008,1,3,4,1925,1825,2024,1930,WN,2359,N385SW,59,65,49,54,60,LAX,SJC,308,3,7,0,N,0,0,0,6,0,48
305,417,2008,1,3,4,1311,1240,1414,1350,WN,2820,N647SW,63,70,53,24,31,LAX,SJC,308,4,6,0,N,0,7,0,0,0,17
306,418,2008,1,3,4,1014,1000,1120,1105,WN,2969,N642WN,66,65,51,15,14,LAX,SJC,308,4,11,0,N,0,5,0,1,0,9
309,421,2008,1,3,4,1114,1045,1347,1330,WN,963,N311SW,93,105,80,17,29,LAX,SLC,590,3,10,0,N,0,4,0,0,0,13
310,423,2008,1,3,4,2117,2010,2355,2255,WN,1485,N605SW,98,105,84,60,67,LAX,SLC,590,4,10,0,N,0,0,0,1,0,59
311,424,2008,1,3,4,1742,1650,2021,1935,WN,2899,N671SW,99,105,82,46,52,LAX,SLC,590,4,13,0,N,0,8,0,0,0,38
314,427,2008,1,3,4,2013,1910,2121,2025,WN,1015,N384SW,68,75,58,56,63,LAX,SMF,373,3,7,0,N,0,0,0,0,0,56
315,429,2008,1,3,4,949,900,1103,1020,WN,1486,N613SW,74,80,61,43,49,LAX,SMF,373,5,8,0,N,0,40,0,0,0,3
316,430,2008,1,3,4,2215,2125,2321,2245,WN,2437,N225WN,66,80,58,36,50,LAX,SMF,373,3,5,0,N,0,1,0,0,0,35
318,432,2008,1,3,4,1441,1350,1549,1510,WN,2985,N727SW,68,80,56,39,51,LAX,SMF,373,4,8,0,N,0,8,0,0,0,31
319,433,2008,1,3,4,1743,1715,1853,1830,WN,3155,N449WN,70,75,59,23,28,LAX,SMF,373,4,7,0,N,0,8,0,0,0,15
323,437,2008,1,3,4,2005,1850,2219,2105,WN,1044,N306SW,74,75,61,74,75,LAX,TUS,451,3,10,0,N,0,0,0,0,0,74
325,441,2008,1,3,4,2110,2040,2326,2300,WN,3939,N654SW,76,80,61,26,30,LAX,TUS,451,5,10,0,N,0,0,0,0,0,26
326,443,2008,1,3,4,1825,1745,1921,1850,WN,555,N506SW,56,65,47,31,40,LBB,AUS,341,4,5,0,N,0,4,0,0,0,27
328,447,2008,1,3,4,1402,1340,1501,1440,WN,35,N520SW,59,60,50,21,22,LBB,DAL,293,2,7,0,N,0,3,0,0,0,18
331,451,2008,1,3,4,1606,1525,1705,1625,WN,2382,N404WN,59,60,50,40,41,LBB,DAL,293,3,6,0,N,0,0,0,0,0,40
332,455,2008,1,3,4,1654,1550,2006,1900,WN,438,N309SW,132,130,121,66,64,LIT,BWI,912,3,8,0,N,0,6,0,2,0,58
334,458,2008,1,3,4,1752,1705,1854,1810,WN,49,N502SW,62,65,49,44,47,LIT,DAL,296,4,9,0,N,0,0,0,0,0,44
337,461,2008,1,3,4,2029,1950,2127,2055,WN,2263,N514SW,58,65,49,32,39,LIT,DAL,296,3,6,0,N,0,0,0,0,0,32
340,465,2008,1,3,4,1051,1035,1246,1215,WN,8,N339SW,115,100,82,31,16,LIT,MDW,544,25,8,0,N,0,16,0,15,0,0
341,467,2008,1,3,4,1846,1815,1951,1920,WN,3168,N513SW,65,65,53,31,31,LIT,STL,296,4,8,0,N,0,4,0,0,0,27
342,469,2008,1,3,4,1615,1130,1623,1135,WN,10,N617SW,68,65,56,288,285,MAF,ABQ,332,4,8,0,N,0,285,0,3,0,0
343,471,2008,1,3,4,1852,1830,1942,1925,WN,2374,N379SW,50,55,40,17,22,MAF,AUS,294,3,7,0,N,0,0,0,0,0,17
344,472,2008,1,3,4,1602,1535,1701,1635,WN,43,N503SW,59,60,46,26,27,MAF,DAL,319,3,10,0,N,0,0,0,0,0,26
345,473,2008,1,3,4,1836,1805,1930,1905,WN,53,N527SW,54,60,46,25,31,MAF,DAL,319,3,5,0,N,0,0,0,0,0,25
347,475,2008,1,3,4,944,915,1046,1015,WN,914,N692SW,62,60,53,31,29,MAF,DAL,319,2,7,0,N,0,0,0,2,0,29
348,479,2008,1,3,4,1625,1450,1731,1605,WN,3828,N333SW,66,75,57,86,95,MAF,HOU,441,2,7,0,N,0,85,0,0,0,1
352,484,2008,1,3,4,1159,1150,1325,1310,WN,290,N224WN,86,80,69,15,9,MCI,BNA,491,5,12,0,N,0,6,0,6,0,3
353,485,2008,1,3,4,2130,2115,2300,2235,WN,1568,N227WN,90,80,65,25,15,MCI,BNA,491,11,14,0,N,0,0,0,10,0,15
354,488,2008,1,3,4,1404,1350,1726,1710,WN,3320,N354SW,142,140,125,16,14,MCI,BWI,967,9,8,0,N,0,10,0,2,0,4
355,489,2008,1,3,4,1958,1930,2310,2250,WN,3829,N465WN,132,140,118,20,28,MCI,BWI,967,5,9,0,N,0,0,0,0,0,20
356,491,2008,1,3,4,937,910,1102,1040,WN,19,N511SW,85,90,71,22,27,MCI,DAL,461,4,10,0,N,0,2,0,0,0,20
358,493,2008,1,3,4,2009,1910,2132,2040,WN,59,N628SW,83,90,70,52,59,MCI,DAL,461,2,11,0,N,0,0,0,0,0,52
360,497,2008,1,3,4,1917,1855,1959,1940,WN,977,N376SW,102,105,88,19,22,MCI,DEN,533,6,8,0,N,0,3,0,0,0,16
361,498,2008,1,3,4,1502,1440,1540,1525,WN,1151,N386SW,98,105,83,15,22,MCI,DEN,533,5,10,0,N,0,12,0,0,0,3
363,500,2008,1,3,4,1038,1010,1259,1230,WN,4,N674AA,81,80,63,29,28,MCI,IND,451,8,10,0,N,0,3,0,1,0,25
364,501,2008,1,3,4,1920,1850,2140,2110,WN,321,N742SW,80,80,61,30,30,MCI,IND,451,9,10,0,N,0,30,0,0,0,0
366,504,2008,1,3,4,1801,1725,1900,1835,WN,962,N302SW,179,190,164,25,36,MCI,LAS,1140,6,9,0,N,0,10,0,0,0,15
368,508,2008,1,3,4,1751,1720,1938,1905,WN,810,N648SW,227,225,200,33,31,MCI,LAX,1363,18,9,0,N,0,31,0,2,0,0
370,510,2008,1,3,4,1518,1455,1658,1640,WN,3155,N449WN,220,225,203,18,23,MCI,LAX,1363,6,11,0,N,0,9,0,0,0,9
371,512,2008,1,3,4,1922,1850,2253,2225,WN,730,N756SA,151,155,135,28,32,MCI,MCO,1072,5,11,0,N,0,0,0,0,0,28
374,516,2008,1,3,4,2229,2100,2343,2215,WN,48,N661SW,74,75,60,88,89,MCI,MDW,405,5,9,0,N,0,1,0,0,0,87
377,519,2008,1,3,4,1028,1010,1154,1130,WN,308,N502SW,86,80,66,24,18,MCI,MDW,405,8,12,0,N,0,16,0,6,0,2
378,526,2008,1,3,4,2014,1935,2143,2055,WN,3915,N528SW,89,80,60,48,39,MCI,MDW,405,20,9,0,N,0,0,0,9,0,39
382,532,2008,1,3,4,1804,1700,1918,1810,WN,1257,N507SW,74,70,47,68,64,MCI,OKC,313,19,8,0,N,0,0,0,4,0,64
383,533,2008,1,3,4,1309,1230,1455,1425,WN,914,N692SW,226,235,214,30,39,MCI,PDX,1481,4,8,0,N,0,5,0,0,0,25
386,536,2008,1,3,4,2128,2025,2328,2220,WN,1579,N775SW,180,175,162,68,63,MCI,PHX,1044,5,13,0,N,0,4,0,5,0,59
387,537,2008,1,3,4,1108,1045,1255,1240,WN,3943,N310SW,167,175,154,15,23,MCI,PHX,1044,5,8,0,N,0,11,0,0,0,4
389,540,2008,1,3,4,1518,1430,1704,1640,WN,1308,N391SW,226,250,214,24,48,MCI,SEA,1489,3,9,0,N,0,4,0,0,0,20
391,543,2008,1,3,4,1537,1450,1628,1545,WN,283,N213WN,51,55,37,43,47,MCI,STL,237,4,10,0,N,0,0,0,0,0,43
393,546,2008,1,3,4,1929,1835,2018,1930,WN,2039,N386SW,49,55,36,48,54,MCI,STL,237,5,8,0,N,0,0,0,0,0,48
395,550,2008,1,3,4,1605,1440,1701,1535,WN,132,N704SW,56,55,37,86,85,MCI,TUL,223,4,15,0,N,0,0,0,1,0,85
396,551,2008,1,3,4,1102,1030,1152,1125,WN,407,N636WN,50,55,37,27,32,MCI,TUL,223,3,10,0,N,0,7,0,0,0,20
397,552,2008,1,3,4,1901,1810,1949,1905,WN,2900,N504SW,48,55,36,44,51,MCI,TUL,223,3,9,0,N,0,3,0,0,0,41
398,553,2008,1,3,4,1331,1245,1528,1455,WN,2284,N409WN,237,250,221,33,46,MCO,ABQ,1552,5,11,0,N,0,4,0,0,0,29
400,556,2008,1,3,4,1317,1300,1607,1540,WN,3075,N208WN,170,160,149,27,17,MCO,ALB,1073,11,10,0,N,0,10,0,10,0,7
402,560,2008,1,3,4,1057,1030,1347,1305,WN,1656,N390SW,170,155,155,42,27,MCO,BDL,1050,4,11,0,N,0,15,0,15,0,12
405,564,2008,1,3,4,1321,1255,1354,1330,WN,2715,N204WN,93,95,78,24,26,MCO,BHM,478,3,12,0,N,0,6,0,0,0,18
407,568,2008,1,3,4,1740,1715,1835,1815,WN,3238,N365SW,115,120,97,20,25,MCO,BNA,616,5,13,0,N,0,11,0,0,0,9
411,576,2008,1,3,4,730,720,940,925,WN,889,N235WN,130,125,117,15,10,MCO,BWI,787,3,10,0,N,0,0,0,5,10,0
413,578,2008,1,3,4,1914,1755,2122,2005,WN,1507,N334SW,128,130,113,77,79,MCO,BWI,787,1,14,0,N,0,0,0,0,0,77
415,580,2008,1,3,4,1506,1500,1730,1705,WN,3067,N252WN,144,125,115,25,6,MCO,BWI,787,21,8,0,N,0,6,0,19,0,0
416,581,2008,1,3,4,1035,1025,1248,1230,WN,3220,N667SW,133,125,118,18,10,MCO,BWI,787,5,10,0,N,0,0,0,8,10,0
417,583,2008,1,3,4,1124,1110,1350,1335,WN,2366,N662SW,146,145,130,15,14,MCO,CLE,895,5,11,0,N,0,11,0,1,0,3
418,585,2008,1,3,4,1928,1910,2143,2125,WN,1602,N425LV,135,135,113,18,18,MCO,CMH,802,5,17,0,N,0,18,0,0,0,0
421,589,2008,1,3,4,1109,1055,1403,1335,WN,399,N621SW,174,160,147,28,14,MCO,DTW,957,9,18,0,N,0,5,0,14,0,9
422,590,2008,1,3,4,1654,1625,1922,1905,WN,1023,N216WR,148,160,137,17,29,MCO,DTW,957,4,7,0,N,0,3,0,0,0,14
424,592,2008,1,3,4,1957,1850,2053,1950,WN,455,N346SW,56,60,41,63,67,MCO,FLL,178,3,12,0,N,0,13,0,0,0,50
425,594,2008,1,3,4,1012,950,1113,1050,WN,779,N294WN,61,60,39,23,22,MCO,FLL,178,6,16,0,N,0,21,0,1,0,1
428,598,2008,1,3,4,1509,1420,1629,1600,WN,42,N470WN,140,160,130,29,49,MCO,HOU,848,2,8,0,N,0,2,0,0,0,27
430,600,2008,1,3,4,1806,1740,1942,1920,WN,1491,N366SW,156,160,134,22,26,MCO,HOU,848,4,18,0,N,0,11,0,0,0,11
432,602,2008,1,3,4,809,800,1026,1010,WN,470,N657SW,137,130,120,16,9,MCO,IAD,758,5,12,0,N,0,0,0,7,9,0
433,603,2008,1,3,4,1234,1220,1447,1425,WN,1317,N366SW,133,125,111,22,14,MCO,IAD,758,4,18,0,N,0,14,0,8,0,0
434,605,2008,1,3,4,1912,1840,2149,2105,WN,3256,N659SW,157,145,126,44,32,MCO,IND,828,8,23,0,N,0,31,0,12,0,1
435,606,2008,1,3,4,2100,2030,2324,2255,WN,121,N467WN,144,145,131,29,30,MCO,ISP,972,4,9,0,N,0,11,0,0,0,18
437,610,2008,1,3,4,1942,1840,2205,2105,WN,3332,N412WN,143,145,130,60,62,MCO,ISP,972,4,9,0,N,0,60,0,0,0,0
438,611,2008,1,3,4,1510,1355,1738,1620,WN,3864,N779SW,148,145,135,78,75,MCO,ISP,972,5,8,0,N,0,12,0,3,0,63
439,612,2008,1,3,4,1642,1610,1728,1705,WN,186,N438WN,106,115,91,23,32,MCO,JAN,587,4,11,0,N,0,23,0,0,0,0
441,614,2008,1,3,4,1243,1155,1439,1400,WN,1308,N391SW,176,185,156,39,48,MCO,MCI,1072,2,18,0,N,0,0,0,0,0,39
444,617,2008,1,3,4,1812,1705,2001,1855,WN,163,N469WN,169,170,150,66,67,MCO,MDW,989,6,13,0,N,0,46,0,0,0,20
445,618,2008,1,3,4,1840,1805,2022,1955,WN,172,N780SW,162,170,140,27,35,MCO,MDW,989,7,15,0,N,0,22,0,0,0,5
447,620,2008,1,3,4,1055,935,1255,1125,WN,562,N739GB,180,170,149,90,80,MCO,MDW,989,17,14,0,N,0,33,0,10,0,47
448,624,2008,1,3,4,2206,2105,2338,2250,WN,3137,N481WN,152,165,138,48,61,MCO,MDW,989,7,7,0,N,0,9,0,0,0,39
450,627,2008,1,3,4,636,630,930,915,WN,589,N419WN,174,165,154,15,6,MCO,MHT,1142,4,16,0,N,0,0,0,9,6,0
451,628,2008,1,3,4,2108,2045,2352,2330,WN,1145,N202WN,164,165,148,22,23,MCO,MHT,1142,4,12,0,N,0,0,0,0,0,22
455,635,2008,1,3,4,1524,1500,1714,1650,WN,1320,N456WN,110,110,92,24,24,MCO,ORF,655,5,13,0,N,0,0,0,17,0,7
458,638,2008,1,3,4,1137,1115,1410,1340,WN,768,N369SW,153,145,134,30,22,MCO,PHL,861,4,15,0,N,0,11,0,8,0,11
459,640,2008,1,3,4,1350,1250,1611,1520,WN,1035,N346SW,141,150,128,51,60,MCO,PHL,861,3,10,0,N,0,9,0,0,0,42
460,643,2008,1,3,4,1730,1620,2028,1920,WN,1484,N242WN,298,300,276,68,70,MCO,PHX,1848,8,14,0,N,0,68,0,0,0,0
467,657,2008,1,3,4,1013,955,1100,1045,WN,150,N355SW,47,50,35,15,18,MCO,RSW,133,3,9,0,N,0,15,0,0,0,0
468,658,2008,1,3,4,2143,2105,2227,2150,WN,907,N388SW,44,45,30,37,38,MCO,RSW,133,4,10,0,N,0,37,0,0,0,0
473,664,2008,1,3,4,1440,1425,1655,1635,WN,718,N457WN,135,130,105,20,15,MCO,SDF,718,20,10,0,N,0,2,0,5,0,13
476,667,2008,1,3,4,2230,2035,2346,2210,WN,2300,N291WN,136,155,122,96,115,MCO,STL,880,3,11,0,N,0,0,0,0,6,90
477,668,2008,1,3,4,1629,1535,1753,1710,WN,3743,N247WN,144,155,127,43,54,MCO,STL,880,4,13,0,N,0,0,0,0,0,43
478,670,2008,1,3,4,1625,1550,1821,1800,WN,2871,N709SW,176,190,158,21,35,MDW,ABQ,1121,4,14,0,N,0,14,0,0,0,7
479,671,2008,1,3,4,1051,1020,1341,1305,WN,95,N325SW,110,105,97,36,31,MDW,ALB,717,4,9,0,N,0,18,0,5,0,13
480,672,2008,1,3,4,2106,1925,2,2215,WN,714,N305SW,116,110,90,107,101,MDW,ALB,717,5,21,0,N,0,48,0,6,0,53
482,674,2008,1,3,4,2033,1905,2249,2150,WN,3568,N767SW,136,165,125,59,88,MDW,AUS,972,4,7,0,N,0,59,0,0,0,0
483,675,2008,1,3,4,1930,1900,2228,2200,WN,245,N730SW,118,120,100,28,30,MDW,BDL,777,8,10,0,N,0,28,0,0,0,0
484,677,2008,1,3,4,1423,1350,1720,1645,WN,885,N406WN,117,115,100,35,33,MDW,BDL,777,5,12,0,N,0,33,0,2,0,0
486,679,2008,1,3,4,2238,1945,8,2125,WN,313,N374SW,90,100,81,163,173,MDW,BHM,570,3,6,0,N,0,22,0,0,0,141
488,682,2008,1,3,4,830,800,939,920,WN,689,N409WN,69,80,56,19,30,MDW,BNA,395,5,8,0,N,0,10,0,0,0,9
489,683,2008,1,3,4,1247,1210,1358,1325,WN,813,N679AA,71,75,60,33,37,MDW,BNA,395,5,6,0,N,0,14,0,0,0,19
491,685,2008,1,3,4,2156,2035,2309,2155,WN,851,N238WN,73,80,60,74,81,MDW,BNA,395,4,9,0,N,0,36,0,0,0,38
492,687,2008,1,3,4,2221,2110,2332,2225,WN,1973,N347SW,71,75,54,67,71,MDW,BNA,395,4,13,0,N,0,20,0,0,0,47
493,688,2008,1,3,4,638,615,801,730,WN,2108,N479WN,83,75,55,31,23,MDW,BNA,395,6,22,0,N,0,23,0,8,0,0
494,689,2008,1,3,4,839,820,1058,1040,WN,1690,N217JC,79,80,65,18,19,MDW,BUF,468,4,10,0,N,0,11,0,0,0,7
495,690,2008,1,3,4,1332,1255,1546,1515,WN,1828,N785SW,74,80,66,31,37,MDW,BUF,468,2,6,0,N,0,19,0,0,0,12
496,691,2008,1,3,4,2057,1955,2321,2215,WN,2975,N713SW,84,80,65,66,62,MDW,BUF,468,3,16,0,N,0,46,0,4,0,16
497,692,2008,1,3,4,2334,1950,157,2235,WN,106,N751SW,83,105,73,202,224,MDW,BWI,611,4,6,0,N,0,15,0,0,0,187
498,693,2008,1,3,4,1338,1300,1617,1545,WN,208,N763SW,99,105,88,32,38,MDW,BWI,611,4,7,0,N,0,32,0,0,0,0
502,697,2008,1,3,4,1110,1035,1348,1320,WN,2272,N263WN,98,105,86,28,35,MDW,BWI,611,3,9,0,N,0,19,0,0,0,9
503,698,2008,1,3,4,2245,2125,115,5,WN,2786,N417WN,90,100,78,70,80,MDW,BWI,611,4,8,0,N,0,45,0,0,0,25
504,700,2008,1,3,4,1847,1825,2052,2035,WN,30,N689SW,65,70,52,17,22,MDW,CLE,307,6,7,0,N,0,16,0,0,0,1
505,701,2008,1,3,4,2214,2105,17,2310,WN,153,N658SW,63,65,48,67,69,MDW,CLE,307,6,9,0,N,0,0,0,0,0,67
506,702,2008,1,3,4,929,820,1200,1025,WN,387,N779SW,91,65,50,95,69,MDW,CLE,307,8,33,0,N,0,69,0,26,0,0
507,703,2008,1,3,4,1202,1135,1403,1345,WN,628,N902WN,61,70,47,18,27,MDW,CLE,307,4,10,0,N,0,8,0,0,0,10
508,704,2008,1,3,4,1527,1410,1735,1620,WN,1489,N699SW,68,70,48,75,77,MDW,CLE,307,7,13,0,N,0,75,0,0,0,0
509,706,2008,1,3,4,1901,1600,2113,1815,WN,3587,N374SW,72,75,54,178,181,MDW,CLE,307,6,12,0,N,0,22,0,0,0,156
511,709,2008,1,3,4,2316,2135,106,2335,WN,261,N340LV,50,60,39,91,101,MDW,CMH,284,3,8,0,N,0,61,0,0,0,30
512,711,2008,1,3,4,637,615,838,815,WN,950,N750SA,61,60,49,23,22,MDW,CMH,284,5,7,0,N,0,0,22,1,0,0
514,713,2008,1,3,4,1349,1325,1549,1530,WN,2470,N339SW,60,65,50,19,24,MDW,CMH,284,2,8,0,N,0,19,0,0,0,0
515,714,2008,1,3,4,1758,1730,1957,1935,WN,2474,N776WN,59,65,48,22,28,MDW,CMH,284,3,8,0,N,0,22,0,0,0,0
516,715,2008,1,3,4,2114,2025,2246,2155,WN,172,N780SW,152,150,128,51,49,MDW,DEN,895,7,17,0,N,0,22,0,2,0,27
520,719,2008,1,3,4,1526,1425,1650,1600,WN,1852,N239WN,144,155,129,50,61,MDW,DEN,895,6,9,0,N,0,26,0,0,0,24
521,720,2008,1,3,4,1805,1705,1930,1845,WN,1944,N410WN,145,160,128,45,60,MDW,DEN,895,6,11,0,N,0,16,0,0,0,29
522,721,2008,1,3,4,1238,1200,1447,1405,WN,308,N502SW,69,65,53,42,38,MDW,DTW,229,9,7,0,N,0,14,0,4,0,24
523,722,2008,1,3,4,819,800,1016,1000,WN,424,N713SW,57,60,45,16,19,MDW,DTW,229,4,8,0,N,0,9,0,0,0,7
524,723,2008,1,3,4,1908,1825,2108,2030,WN,1006,N523SW,60,65,42,38,43,MDW,DTW,229,3,15,0,N,0,38,0,0,0,0
525,724,2008,1,3,4,1656,1610,1857,1820,WN,1014,N494WN,61,70,43,37,46,MDW,DTW,229,3,15,0,N,0,29,0,0,0,8
526,725,2008,1,3,4,1015,955,1218,1200,WN,1567,N785SW,63,65,52,18,20,MDW,DTW,229,5,6,0,N,0,8,0,0,0,10
527,726,2008,1,3,4,1452,1405,1650,1610,WN,1916,N357SW,58,65,46,40,47,MDW,DTW,229,5,7,0,N,0,32,0,0,0,8
528,728,2008,1,3,4,2223,2125,18,2325,WN,3915,N528SW,55,60,36,53,58,MDW,DTW,229,7,12,0,N,0,9,0,0,0,44
532,732,2008,1,3,4,2130,1955,111,2350,WN,3228,N717SA,161,175,142,81,95,MDW,FLL,1166,4,15,0,N,0,40,0,0,0,41
533,733,2008,1,3,4,705,630,1055,1030,WN,3848,N550WN,170,180,151,25,35,MDW,FLL,1166,5,14,0,N,0,25,0,0,0,0
535,735,2008,1,3,4,2106,2015,2329,2300,WN,203,N332SW,143,165,123,29,51,MDW,HOU,937,4,16,0,N,0,13,0,0,0,16
536,736,2008,1,3,4,916,820,1142,1105,WN,319,N716SW,146,165,130,37,56,MDW,HOU,937,4,12,0,N,0,13,0,0,0,24
538,738,2008,1,3,4,1149,1115,1416,1400,WN,3763,N514SW,147,165,135,16,34,MDW,HOU,937,3,9,0,N,0,12,0,0,0,4
540,740,2008,1,3,4,2217,2110,47,2350,WN,205,N299WN,90,100,73,57,67,MDW,IAD,577,5,12,0,N,0,25,0,0,0,32
541,742,2008,1,3,4,1544,1405,1825,1650,WN,1307,N294WN,101,105,81,95,99,MDW,IAD,577,5,15,0,N,0,51,0,0,0,44
542,744,2008,1,3,4,1939,1915,2216,2155,WN,3232,N201LV,97,100,78,21,24,MDW,IAD,577,5,14,0,N,0,2,0,0,0,19
543,745,2008,1,3,4,647,640,931,915,WN,3760,N672SW,104,95,84,16,7,MDW,IAD,577,5,15,0,N,0,0,7,9,0,0
544,746,2008,1,3,4,1724,1655,1913,1850,WN,378,N726SW,49,55,31,23,29,MDW,IND,162,7,11,0,N,0,23,0,0,0,0
545,747,2008,1,3,4,2212,2105,7,2255,WN,771,N486WN,55,50,36,72,67,MDW,IND,162,6,13,0,N,0,17,0,5,0,50
546,748,2008,1,3,4,1410,1255,1609,1445,WN,1333,N334SW,59,50,32,84,75,MDW,IND,162,8,19,0,N,0,58,0,9,0,17
548,750,2008,1,3,4,1033,905,1342,1205,WN,969,N215WN,129,120,114,97,88,MDW,ISP,765,5,10,0,N,0,32,0,9,0,56
549,751,2008,1,3,4,1620,1550,1924,1900,WN,1667,N243WN,124,130,110,24,30,MDW,ISP,765,5,9,0,N,0,13,0,0,0,11
550,752,2008,1,3,4,1308,1245,1615,1555,WN,1930,N724SW,127,130,113,20,23,MDW,ISP,765,4,10,0,N,0,20,0,0,0,0
552,754,2008,1,3,4,2241,1845,25,2045,WN,405,N513SW,104,120,90,220,236,MDW,JAN,666,3,11,0,N,0,220,0,0,0,0
553,755,2008,1,3,4,830,730,1010,925,WN,1035,N346SW,100,115,87,45,60,MDW,JAN,666,3,10,0,N,0,45,0,0,0,0
554,756,2008,1,3,4,2207,2100,6,2300,WN,164,N723SW,239,240,219,66,67,MDW,LAS,1521,5,15,0,N,0,55,0,0,0,11
557,759,2008,1,3,4,1601,1550,1828,1750,WN,433,N264LV,267,240,219,38,11,MDW,LAS,1521,32,16,0,N,0,11,0,27,0,0
560,762,2008,1,3,4,650,615,840,815,WN,891,N400WN,230,240,216,25,35,MDW,LAS,1521,3,11,0,N,0,0,25,0,0,0
